"","x"
"2084","James Chance & the Contortions"
"2085","Mindless Faith"
"2086","Keali'i Reichel"
"2087","the silk demise"
"2088","S.O.A.P."
"2089","Gillian Hills"
"2090","Yvonne Catterfeld"
"2091","BigElf"
"2092","Orup"
"2093","Bill Wells & Maher Shalal Hash Baz"
"2094","Marina Lima"
"2095","Benito Di Paula"
"2096","Something For Kate"
"2097","Mr. Projectile"
"2098","Sacramentum"
"2099","Elizabeth Cotten"
"2100","Detroit Grand Pubahs"
"2101","Ramesses"
"2102","Nancy Kerr & James Fagan"
"2103","Carol Sloane"
"2104","Robbie Dupree"
"2105","Lisa Lisa & Cult Jam"
"2106","1919"
"2107","Julien Clerc"
"2108","La Dama Se Esconde"
"2109","Psi vojaci"
"2110","Die Laughing"
"2111","Barracudas"
"2112","Paul Rodgers"
"2113","Carter USM"
"2114","The Mavericks"
"2115","Alain Clark"
"2116","House Of Lords"
"2117","Filewile"
"2118","João Donato"
"2119","Akiko Yano"
"2120","Julie Driscoll_ Brian Auger & The Trinity"
"2121","Planetary Assault Systems"
"2122","Silencio Absoluto"
"2123","Jimmy Jansson"
"2124","Sonora Carruseles"
"2125","Luz Casal"
"2126","R. Dean Taylor"
"2127","Smokey Robinson & The Miracles"
"2128","The Arrogant Sons Of Bitches"
"2129","Cheju"
"2130","Hexstatic"
"2131","Heikki Silvennoinen"
"2132","Laura Fygi"
"2133","A Global Threat"
"2134","Speedmarket Avenue"
"2135","Paths Of Possession"
"2136","Formula 3"
"2137","Cry Cry Cry"
"2138","The Old Dead Tree"
"2139","Pernice Brothers"
"2140","Cæcilie Norby"
"2141","High Powered Boys"
"2142","Captain Capa"
"2143","Grave Plott"
"2144","Fatal Flying Guilloteens"
"2145","PsyCraft"
"2146","Otis Rush"
"2147","Splitloop"
"2148","Jughead's Revenge"
"2149","Amandine Bourgeois"
"2150","Anna Järvinen"
"2151","Jonas Hellborg"
"2152","Lifter Puller"
"2153","QPE"
"2154","Blowback"
"2155","Al Campbell"
"2156","Los Toreros Muertos"
"2157","Kathy Troccoli"
"2158","Experimental Aircraft"
"2159","Storyhill"
"2160","The Mar-Keys"
"2161","Eva Cassidy & Katie Melua"
"2162","I Am The World Trade Center"
"2163","The Nels Cline Singers"
"2164","Wynton Marsalis Septet"
"2165","It's A Beautiful Day"
"2166","Young Divas featuring Savage"
"2167","Tom Ellis"
"2168","Benjy Davis Project"
"2169","Kelly Willis"
"2170","Millie Jackson"
"2171","Tierney Sutton"
"2172","Michael Franks"
"2173","Un Kuartito"
"2174","Tonino Carotone"
"2175","Papas Da Língua"
"2176","Solas"
"2177","Lunik"
"2178","The Electric Hellfire Club"
"2179","Transcending Bizarre?"
"2180","Dead Disco"
"2181","Charles Bernstein"
"2182","Bottomless Pit"
"2183","Charlotte Perrelli"
"2184","Planet X"
"2185","Rocazino"
"2186","Slick Shoes"
"2187","The Commitments"
"2188","Hey Colossus"
"2189","Grayskul"
"2190","Studio 3"
"2191","The Dykeenies"
"2192","Agent Steel"
"2193","Alceu Valença"
"2194","Hott 22"
"2195","rekorder"
"2196","First Choice"
"2197","Razors Edge"
"2198","prinzhorn dance school"
"2199","John Frizzell"
"2200","Frantic Flintstones"
"2201","Cyantific"
"2202","Skiantos"
"2203","Alex Lloyd"
"2204","Sharon Shannon"
"2205","Retard-O-Bot"
"2206","Dave Specter"
"2207","East West Blast Test"
"2208","A-Mei"
"2209","Most Precious Blood"
"2210","Fun Boy Three"
"2211","Fireside"
"2212","Jackie McLean"
"2213","Naer Mataron"
"2214","The Curse Of The Golden Vampire"
"2215","Nonpalidece"
"2216","Ray Price"
"2217","'t Hof Van Commerce"
"2218","The Grouch & Eligh"
"2219","Sepultura"
"2220","Mood II Swing"
"2221","Peter Kater"
"2222","Eugenio Finardi"
"2223","Happy Family"
"2224","War Tapes"
"2225","Terminal Sound System"
"2226","Geoffrey Gurrumul Yunupingu"
"2227","Megashira"
"2228","Dirty on Purpose"
"2229","Enrico Rava_ Stefano Bollani_ Mark Turner_ Larry Grenadier_ Paul Motian"
"2230","Sten"
"2231","It Bites"
"2232","Beth Quist"
"2233","Mink DeVille"
"2234","Kispal Es A Borz"
"2235","Yonder Mountain String Band"
"2236","Dana Rayne"
"2237","7 Year Bitch"
"2238","Junior Byles"
"2239","The Dixie Hummingbirds"
"2240","Furry Lewis"
"2241","Lilys"
"2242","Wizex"
"2243","Cocoa Brovas"
"2244","Steve Goodman"
"2245","Philmore"
"2246","Admiral Tibet"
"2247","Daniel Darc"
"2248","Erick Sermon"
"2249","Herbie Mann"
"2250","Leroy Anderson"
"2251","Sound Team"
"2252","Espresso del Lago"
"2253","Eddie Palmieri"
"2254","Others"
"2255","The Hollywood Brats"
"2256","Meade Lux Lewis"
"2257","Karrin Allyson"
"2258","Balla"
"2259","Marc Lavoine"
"2260","José Alfredo Jimenez"
"2261","Yaga_ Mackie"
"2262","Hector"
"2263","Natalia Oreiro"
"2264","El Niño Gusano"
"2265","Orange Goblin"
"2266","Rodrigo Leão"
"2267","Sonny Stitt"
"2268","4 Clubbers"
"2269","Otis Spann"
"2270","The Blue Aeroplanes"
"2271","John Carpenter"
"2272","Shabazz The Disciple"
"2273","Robert Forster"
"2274","James White And The Blacks"
"2275","Glenn Medeiros"
"2276","Attitude Adjustment"
"2277","The Latin Brothers"
"2278","Brother"
"2279","Aarne Tenkanen"
"2280","Timbuk 3"
"2281","Stephen Duffy"
"2282","Haemostatic Picnic Races"
"2283","Green On Red"
"2284","Agression"
"2285","The Northern Pikes"
"2286","Make It Count"
"2287","The Nice"
"2288","Chick Webb"
"2289","Paul Schwartz"
"2290","Dave Douglas"
"2291","Herman Brood"
"2292","Laura Nyro"
"2293","Fiction 8"
"2294","89ers"
"2295","Isildurs Bane"
"2296","Red Garland"
"2297","Tim Van Eyken"
"2298","The Sunshine Fix"
"2299","Nasty Savage"
"2300","Robert Nighthawk"
"2301","Spahn Ranch"
"2302","Manual"
"2303","Craig Chaquico"
"2304","Small Arms Dealer"
"2305","Tin Hat Trio"
"2306","Black Bonzo"
"2307","Tranzas"
"2308","Mcfadden & Whitehead"
"2309","Percy Faith & His Orchestra"
"2310","B.C. Camplight"
"2311","Bill Medley & Jennifer Warnes"
"2312","Hugo Montenegro & His Orchestra"
"2313","Belbury Poly"
"2314","Colonel Abrams"
"2315","Sergent Garcia"
"2316","Kristofer Åström"
"2317","Uphill Battle"
"2318","Pan.thy.monium"
"2319","Southside Johnny & The Asbury Jukes"
"2320","Nero's Day At Disneyland"
"2321","Burton Cummings"
"2322","Scan X"
"2323","Lewis Taylor"
"2324","Living In A Box"
"2325","The Merry Thoughts"
"2326","Pygmy Lush"
"2327","Jerry Jeff Walker"
"2328","So Called Plan"
"2329","Rockin' Da North"
"2330","Flow Dynamics"
"2331","Crash Romeo"
"2332","Stanley Turrentine"
"2333","Drumsound & Bassline Smith"
"2334","Charlie Hunter"
"2335","Smash hit combo"
"2336","Burning Airlines"
"2337","Tullycraft"
"2338","Loco Dice"
"2339","Pugh Rogefeldt"
"2340","Magna Cum Laude"
"2341","Ulf Lundell"
"2342","Slapp Happy"
"2343","Jason Molina"
"2344","John Gorka"
"2345","The Conscious Daughters"
"2346","Bullion"
"2347","Emmon"
"2348","Condemned 84"
"2349","Elin Sigvardsson"
"2350","BBE"
"2351","Down To The Bone"
"2352","His Name Is Alive"
"2353","Zolof The Rock & Roll Destroyer"
"2354","Lampshade"
"2355","The Envy Corps"
"2356","Machinedrum"
"2357","Infa Riot"
"2358","Schoolyard Heroes"
"2359","Nakatomi"
"2360","Fruko Y Sus Tesos"
"2361","Knifehandchop"
"2362","Helvetic Nerds"
"2363","The Ocean Blue"
"2364","Deviated Instinct"
"2365","Marvelous 3"
"2366","Shannon McNally"
"2367","The Blow Monkeys"
"2368","Paul Revere & The Raiders (featuring Mark Lindsay)"
"2369","Paul Revere & The Raiders"
"2370","Union 13"
"2371","Nikola Sarcevic"
"2372","Pink Razors"
"2373","Freedy Johnston"
"2374","Junior Reid"
"2375","Mekkanikka"
"2376","Paolo Meneguzzi"
"2377","Optical"
"2378","Anoushka Shankar and Karsh Kale feat. Norah Jones"
"2379","Anoushka Shankar and Karsh Kale feat. Ravi Shankar"
"2380","Roachford"
"2381","Anna Eriksson"
"2382","The Waybacks"
"2383","Jimmy Somerville"
"2384","Chavela Vargas"
"2385","Andy Jay Powell"
"2386","Roger Daltrey"
"2387","Brideshead"
"2388","Slim Harpo"
"2389","Defecation"
"2390","Regenerator"
"2391","Black Box Recorder"
"2392","Onda Vaselina"
"2393","Lonnie Gordon"
"2394","Marumari"
"2395","Slyde"
"2396","RyanDan"
"2397","Los Tiki Phantoms"
"2398","The Nixons"
"2399","Clã"
"2400","Jennifer Love Hewitt"
"2401","Sam Isaac"
"2402","Tom Cochrane"
"2403","Les Innocents"
"2404","Bart Claessen"
"2405","Esthetic Education"
"2406","Massive Töne"
"2407","Bruno Sanfilippo"
"2408","Graham Parker"
"2409","DJ Sequenza"
"2410","Blind Mr. Jones"
"2411","Klingonz"
"2412","Porter Wagoner"
"2413","Wailing Souls"
"2414","Birth Control"
"2415","Spirit of the West"
"2416","The Roches"
"2417","Novaspace"
"2418","Filthy Christians"
"2419","Mika Vainio"
"2420","Belong"
"2421","Outerspace"
"2422","Extreme Noise Terror"
"2423","Los Chunguitos"
"2424","Young Heart Attack"
"2425","Puny Human"
"2426","SkinnyMan"
"2427","Kurban"
"2428","Riddle Of Steel"
"2429","2 Minutos"
"2430","The Soul Stirrers"
"2431","Templars"
"2432","Down By Law"
"2433","Bloodlined Calligraphy"
"2434","Kaada"
"2435","John Surman"
"2436","Hallows Eve"
"2437","Wicked Jazz Sounds Band"
"2438","Longpigs"
"2439","The Partisans"
"2440","September Collective"
"2441","Film School"
"2442","Molice"
"2443","Bahamadia"
"2444","Tiktak"
"2445","Minipop"
"2446","Twiggy Frostbite"
"2447","Hell N' Diesel"
"2448","Lee Morgan"
"2449","Nine Pound Hammer"
"2450","Piccola Bottega Baltazar"
"2451","Catatonia"
"2452","Juri Gagarin"
"2453","Alain Souchon"
"2454","Bénabar"
"2455","Azzido Da Bass"
"2456","J. D. SOUTHER"
"2457","Josef K"
"2458","Uusitalo"
"2459","Mick Harvey"
"2460","Overcome"
"2461","Samae Koskinen"
"2462","Rob Tognoni"
"2463","Pambo"
"2464","Cristina Donà"
"2465","Tim Rayborn"
"2466","Video Nasties"
"2467","Innerzone Orchestra"
"2468","Pretz"
"2469","La Mosca Tse-Tse"
"2470","Stella Starlight Trio"
"2471","Clues"
"2472","Slo Burn"
"2473","Dominoes"
"2474","Daleka Obala"
"2475","Georges Delerue"
"2476","Harry Chapin"
"2477","No One Is Innocent"
"2478","Poncho Sanchez"
"2479","Mad EP"
"2480","Duran Duran Duran"
"2481","Robyn Hitchcock and The Egyptians"
"2482","Jimmy Ruffin"
"2483","Army Of Lovers"
"2484","Liquid Child"
"2485","The Doppler Effect"
"2486","A Hawk And A Hacksaw"
"2487","Kind of Like Spitting"
"2488","Clor"
"2489","Thelonious Monster"
"2490","Manjul"
"2491","Martin Orford"
"2492","Garland Jeffreys"
"2493","Peter Green Splinter Group"
"2494","Tribal Tech"
"2495","Black Math Horseman"
"2496","South Rakkas Crew"
"2497","The Golden Gate Quartet"
"2498","The Railway Children"
"2499","Dark At Dawn"
"2500","Maria Lawson"
"2501","Die' Hunns"
"2502","Tomas Andersson Wij"
"2503","Neal Morse"
"2504","Aaron Lines"
"2505","Huski"
"2506","Kona Triangle"
"2507","Harold Melvin & The Blue Notes"
"2508","Patty Larkin"
"2509","Max Mutzke"
"2510","Chixdiggit!"
"2511","Horace Andy"
"2512","Proyecto Uno"
"2513","Persuader"
"2514","COM.A"
"2515","Olivia Ruiz"
"2516","Ultraviolence Vs Hellsau"
"2517","The Honor System"
"2518","Jason Forrest"
"2519","Stiv Bators"
"2520","Grégory Lemarchal"
"2521","Elva Hsiao"
"2522","B-Legit"
"2523","The Eighties Matchbox B-Line Disaster"
"2524","Last Autumn's Dream"
"2525","Atman"
"2526","Snooks Eaglin"
"2527","Rod Modell"
"2528","Yves Deruyter"
"2529","Isabelle Aubret"
"2530","Tasavallan Presidentti"
"2531","The Gap Band"
"2532","Flat Duo Jets"
"2533","Differnet"
"2534","Shriekback"
"2535","Captain Everything!"
"2536","Dressy Bessy"
"2537","International Observer"
"2538","Jimmy LaFave"
"2539","Omnium Gatherum"
"2540","Raison D'être"
"2541","Thee Mighty Caesers"
"2542","Blue Swede"
"2543","Ghost Of Tom Joad"
"2544","Al Duvall"
"2545","Naoki Kenji"
"2546","Avarus"
"2547","Hitechjet"
"2548","Theodor Bastard"
"2549","Love Equals Death"
"2550","Sleeping Children"
"2551","Le Mandat de Dépôt"
"2552","Fad Gadget"
"2553","The Meeting Places"
"2554","Adiemus"
"2555","Intuit"
"2556","Susannah McCorkle"
"2557","Kool Moe Dee"
"2558","Gino Paoli"
"2559","The Mae Shi"
"2560","Noe Venable"
"2561","Jore Marjaranta"
"2562","James Carr"
"2563","Paul Carrack"
"2564","Allen Toussaint"
"2565","Twilightning"
"2566","The New Seekers"
"2567","A Life Once Lost"
"2568","Wayne Fontana"
"2569","Usurp Synapse"
"2570","Charley Patton"
"2571","Chip Taylor"
"2572","Netzwerk"
"2573","Nick Holder"
"2574","Q-Tip"
"2575","Q-Tip / Norah Jones"
"2576","Tim Fite"
"2577","Dave Attell"
"2578","Fulanito"
"2579","Nicole Willis"
"2580","E-Rotic"
"2581","Drive Like Jehu"
"2582","Pieces Of A Dream"
"2583","Danny And The Juniors"
"2584","Squad Five-0"
"2585","Gescom"
"2586","Testbild!"
"2587","Ghost of the Russian Empire"
"2588","Mark Heard"
"2589","3-11 Porter"
"2590","Catie Curtis"
"2591","Lustans Lakejer"
"2592","Moi Caprice"
"2593","Magic Affair"
"2594","Tar"
"2595","Sickboy"
"2596","Khadja Nin"
"2597","Punkreas"
"2598","Osunlade"
"2599","Tom Trago"
"2600","Peter Horrevorts"
"2601","The Flying Pickets"
"2602","Barleyjuice"
"2603","Morgion"
"2604","Cali Agents"
"2605","MZ 412"
"2606","John Stevens"
"2607","Spektre"
"2608","Raymond Van Het Groenewoud"
"2609","Jape"
"2610","De-Grees"
"2611","Sebo K"
"2612","Laura Voutilainen"
"2613","Meitz"
"2614","Dog Fashion Disco"
"2615","Hawkeye"
"2616","Eyeless In Gaza"
"2617","Keef Baker"
"2618","Splender"
"2619","Mary Black"
"2620","Goldrush"
"2621","Living Things"
"2622","Lord Tanamo"
"2623","Tachenko"
"2624","Hank Dogs"
"2625","Bloodbound"
"2626","Diesel Boy"
"2627","Global Goon"
"2628","Glossary"
"2629","Colour"
"2630","Krust / Saul Williams"
"2631","Hundred Reasons"
"2632","Drome"
"2633","Edge Of Dawn"
"2634","Limahl"
"2635","Bermuda Triangle"
"2636","Matthew Dekay"
"2637","Suzy Bogguss"
"2638","Carlos Nakai"
"2639","Topmodelz"
"2640","Westernhagen"
"2641","Haujobb"
"2642","Brandtson"
"2643","Robert Armani"
"2644","HOOPY FROOD"
"2645","Benny Benassi Presents The Biz"
"2646","Johnny Gill"
"2647","Nice & Smooth"
"2648","Sigue Sigue Sputnik"
"2649","Celelalte Cuvinte"
"2650","Martin Denny"
"2651","Skyforger"
"2652","Jono El Grande"
"2653","Thumb"
"2654","Don Diablo"
"2655","Faultline"
"2656","Aural Float"
"2657","Georgia Gibbs"
"2658","Baby Dee"
"2659","Luca Carboni"
"2660","Maria Solheim"
"2661","Los Iracundos"
"2662","Claudine Longet"
"2663","Heidi Talbot"
"2664","Carol Douglas"
"2665","Sinne Eeg"
"2666","The Maytals"
"2667","Flykkiller"
"2668","Garden Of Delight"
"2669","Big Youth"
"2670","Shuggie Otis"
"2671","The London Metropolitan Orchestra"
"2672","Kris Menace"
"2673","Cybertribe"
"2674","Chick Corea Akoustic Band"
"2675","Los Amantes De Lola"
"2676","Willy DeVille"
"2677","Dolorean"
"2678","Andy Summers"
"2679","Vicarious Bliss"
"2680","Northern Lite"
"2681","Tyrone Wells"
"2682","Pascal Obispo"
"2683","Pat Martino"
"2684","Shirley Horn"
"2685","Ben Jelen"
"2686","Bjørn Svin"
"2687","Kane"
"2688","On Broken Wings"
"2689","Ralph Myerz"
"2690","Vilma Palma e Vampiros"
"2691","The Makers"
"2692","Freeland"
"2693","Caural"
"2694","Tap Tap"
"2695","Ours"
"2696","Bobby Birdman"
"2697","Go Betty Go"
"2698","Karat"
"2699","Edda"
"2700","Link 80"
"2701","Johnny Hartman"
"2702","Slaraffenland"
"2703","Christophe Beck"
"2704","Tim Hardin"
"2705","Stefon Harris"
"2706","The Amps"
"2707","Index ID"
"2708","Robert Pollard"
"2709","Florent Marchet"
"2710","The In Crowd"
"2711","Manu Dibango"
"2712","The Swinging Blue Jeans"
"2713","Judy Collins"
"2714","Medwyn Goodall"
"2715","P. R. Kantate"
"2716","Scorn"
"2717","CLUB NOUVEAU"
"2718","Painkiller"
"2719","Eric Burdon & War"
"2720","Susanna Hoffs"
"2721","Marco Beltrami"
"2722","Power Pill Fist"
"2723","HEATHEN"
"2724","DAT Politics"
"2725","Panacea"
"2726","From Monument To Masses"
"2727","Pál Utcai Fiúk"
"2728","Jeckyll & Hyde"
"2729","Supafly Inc"
"2730","Massiv in Mensch"
"2731","The Modernist"
"2732","Jim Murple Memorial"
"2733","Last Days Of April"
"2734","Saafi Brothers"
"2735","Montt Mardie"
"2736","Chris Bailey"
"2737","GODGORY"
"2738","Ry Cooder & Manuel Galban"
"2739","Sonny Boy Williamson"
"2740","White Shoes & The Couples Company"
"2741","Esser"
"2742","Organ"
"2743","Edwin Starr"
"2744","Wang Wen"
"2745","Klovner I Kamp"
"2746","Superpunk"
"2747","Mad Heads"
"2748","The Dolly Rocker Movement"
"2749","Noitalinna Huraa!"
"2750","The Green Pajamas"
"2751","Charlie Peacock"
"2752","The Brecker Brothers"
"2753","Tony Furtado"
"2754","Wolfchant"
"2755","Infantjoy"
"2756","Chuck Prophet"
"2757","Don Gibson"
"2758","Dracul"
"2759","Willie Bobo"
"2760","Hilt"
"2761","Lisa Nilsson"
"2762","Pancho Barraza"
"2763","Timesbold"
"2764","Arthur H"
"2765","Acumen Nation"
"2766","King Midas Sound"
"2767","Rupa & the April Fishes"
"2768","Pino Donaggio"
"2769","The Devin Townsend Band"
"2770","Devin Townsend Band"
"2771","The Dramatics"
"2772","Bob Wills"
"2773","Bob Wills & Tommy Duncan"
"2774","Eskju Divine"
"2775","Rabih Abou-Khalil"
"2776","Sanseverino"
"2777","Rosendo"
"2778","Love & Money"
"2779","Ina Deter"
"2780","Hess Is More"
"2781","Pirat's Sound Sistema"
"2782","Cuff the Duke"
"2783","I Am Robot and Proud"
"2784","High Tone"
"2785","Born Jamericans"
"2786","Odd Nosdam"
"2787","Helios Creed"
"2788","July"
"2789","Noel Coward"
"2790","Autistici"
"2791","Ronan Hardiman"
"2792","Liz Story"
"2793","Andreas Johnson"
"2794","The Dreadful Yawns"
"2795","Dale Hawkins"
"2796","Lady & Bird"
"2797","Lustral"
"2798","Curtis Stigers"
"2799","The Communards"
"2800","Cathy Dennis"
"2801","Peter Sommer"
"2802","Chet Atkins & Les Paul"
"2803","Kitty Wells"
"2804","The Boats"
"2805","SWAMI featuring Ishmael Morabe_ Pras Michel"
"2806","Pentangle"
"2807","The Phantom Limbs"
"2808","The Wiseguys"
"2809","Funk D'Void"
"2810","Daycare Swindlers"
"2811","Natalie MacMaster"
"2812","Slim Dusty"
"2813","Russell Watson"
"2814","Russell Watson / Faye Tozer / Steve Mac / Chris Laws / Fridrik Karlsson / Steve Pearce / Mae McKenna / London Session Orchestra"
"2815","Linea 77"
"2816","Geiom"
"2817","The Mighty Diamonds"
"2818","The Silos"
"2819","T-Rock"
"2820","Grammatrain"
"2821","Timebox"
"2822","Up_ Bustle & Out"
"2823","amelie-les-crayons"
"2824","4 Promille"
"2825","Kidz Bop Kids"
"2826","The Clifford Gilberto Rhythm Combination"
"2827","Erik Segerstedt"
"2828","Bullitnuts"
"2829","St. Lunatics"
"2830","Hatiras"
"2831","Christopher O'Riley"
"2832","The Monochrome Set"
"2833","Ultraje A Rigor"
"2834","Yellowjackets"
"2835","Artesia"
"2836","Jaci Velasquez"
"2837","Boys Night Out"
"2838","Nils Petter Molvaer"
"2839","Stadio"
"2840","Justin Hinds & The Dominoes"
"2841","Ernest Tubb"
"2842","The Supernaturals"
"2843","Cyssero"
"2844","DON JOHNSON BIG BAND"
"2845","Nuttea"
"2846","Daddy Nuttea"
"2847","Neffa"
"2848","Michael Martin Murphey"
"2849","Ralph Towner"
"2850","Jill Barber"
"2851","Sagi Rei"
"2852","Carlos Chaouen (F)"
"2853","The Tams"
"2854","Midge Ure"
"2855","The Young Rascals"
"2856","Sharkey"
"2857","G4"
"2858","Gartnerlosjen"
"2859","Phantom Ghost"
"2860","Jack Kerouac Featuring Al Cohn & Zoot Sims"
"2861","Alex Bugnon"
"2862","Neva Dinova"
"2863","Andreas Dorau"
"2864","L.E.G.A.C.Y."
"2865","LOCK UP"
"2866","Dilute"
"2867","Phonophani"
"2868","Alexandre Pires"
"2869","Shakta"
"2870","Pita"
"2871","Sven Libaek"
"2872","Janie Fricke"
"2873","Doctor Explosion"
"2874","Jonatha Brooke"
"2875","Lisa Germano"
"2876","Lisa Stansfield"
"2877","Lisa Stansfield;Ian Devaney;Andy Morris"
"2878","Laurent Voulzy"
"2879","Be Bop Deluxe"
"2880","Blind Lemon Jefferson"
"2881","Hakimakli"
"2882","Hugh Mundell"
"2883","Sarandon"
"2884","Nuclear Blast Allstars"
"2885","Joe Arroyo"
"2886","Harry Manx"
"2887","Billy Dean"
"2888","Pokolgép"
"2889","Mark Kozelek"
"2890","Lackluster"
"2891","Dazzling Killmen"
"2892","Ganjaman feat. Junior Randy"
"2893","Silje Nergaard"
"2894","Jean Claude Ades"
"2895","Mira Craig"
"2896","Das Ich"
"2897","Carmen Rizzo"
"2898","Men_ Women & Children"
"2899","Francis Dunnery"
"2900","King"
"2901","Minnie Riperton Featuring José Feliciano"
"2902","Suburban Knight"
"2903","Lenny LeBlanc"
"2904","The Chills"
"2905","Calle Kristiansson"
"2906","El Matador"
"2907","Fiona"
"2908","Oysterband"
"2909","Susheela Raman"
"2910","Heatmiser"
"2911","Gepe"
"2912","My Fate"
"2913","Aslyn"
"2914","Time of Orchids"
"2915","Micatone"
"2916","Anna Tatangelo"
"2917","Bill Cosby"
"2918","Karen Clark Sheard"
"2919","Karen Clark Sheard feat. Kierra Sheard"
"2920","Hadise"
"2921","Ms. Dynamite"
"2922","Oliver Huntemann"
"2923","Ornatos Violeta"
"2924","Heltah Skeltah"
"2925","Robin Gibb"
"2926","Maga"
"2927","Ronny Jordan"
"2928","Basil Poledouris"
"2929","Quantum Leap"
"2930","Scenes From A Movie"
"2931","Pat Travers"
"2932","Sibylle Baier"
"2933","Sayag Jazz Machine"
"2934","Nu Nrg"
"2935","Johnny Adams"
"2936","Robert Natus"
"2937","Thomas Dolby"
"2938","Nostalgia 77"
"2939","Beverlei Brown"
"2940","Clout"
"2941","GG Allin"
"2942","Puya"
"2943","Televise"
"2944","Pasion Vega"
"2945","PFR"
"2946","London Funk Allstars"
"2947","Hubert Félix Thiéfaine"
"2948","Jose Luis Perales"
"2949","Psychic TV"
"2950","Kortatu"
"2951","The Durutti Column"
"2952","As We Fight"
"2953","Secrets Of The Moon"
"2954","Amy Millan"
"2955","Billie Jo Spears"
"2956","All The Day Holiday"
"2957","Freddie Hubbard"
"2958","Alien Factory"
"2959","Across Five Aprils"
"2960","Lonnie Brooks"
"2961","Paul Potts"
"2962","Jermaine Jackson & Pia Zadora"
"2963","The Sea Urchins"
"2964","Henry Rollins"
"2965","Bobbie Gentry"
"2966","Treponem Pal"
"2967","The Love Unlimited Orchestra"
"2968","Matt Willis"
"2969","µ-ziq"
"2970","Look Mexico"
"2971","Lifesavas"
"2972","Lunic"
"2973","Tom Vek"
"2974","Robyn Hitchcock"
"2975","Wilderness"
"2976","Harry Partch"
"2977","Betty Wright"
"2978","Monica Zetterlund / Bill Evans Trio"
"2979","Monica Zetterlund"
"2980","Quad City DJ's"
"2981","Kim Sozzi"
"2982","The Cube Guys"
"2983","So Many Dynamos"
"2984","Aldo Nova"
"2985","Amel Larrieux"
"2986","Marcia Griffiths"
"2987","Ben Watt"
"2988","Chiasm"
"2989","The Blue Nile"
"2990","Desorden Público"
"2991","School Of Language"
"2992","Mississippi Fred McDowell"
"2993","Blue Oyster Cult"
"2994","DJ Muggs & Planet Asia"
"2995","Blind Willie McTell_ Ruth Willis"
"2996","Alessandro Safina"
"2997","Chick Corea_ Gary Burton"
"2998","Juliane Werding"
"2999","Post War Years"
"3000","Leandra"
"3001","Joyce Cooling"
"3002","Jackson And His Computer Band"
"3003","Original Naabtal Duo"
"3004","Zoegirl"
"3005","Sexy Sadie"
"3006","MU330"
"3007","Tub Ring"
"3008","Leon Redbone"
"3009","Crime And The City Solution"
"3010","Mississippi Sheiks"
"3011","Popol Vuh"
"3012","Delroy Wilson"
"3013","Newworldaquarium"
"3014","Alma Cogan"
"3015","Per Gessle"
"3016","Glenn Hughes"
"3017","Something Like Silas"
"3018","Cyan Velvet Project"
"3019","Tarkan"
"3020","Mazarin"
"3021","Boat"
"3022","2002"
"3023","The Sushi Club"
"3024","Astrobrite"
"3025","Vapnet"
"3026","Holiday Symphony & Choir"
"3027","Hezekiah Walker & LFC"
"3028","Bill Wyman"
"3029","Sunscreem"
"3030","Joe Lovano"
"3031","Silence 4"
"3032","Ray Lynch"
"3033","Sugar Minott"
"3034","Charlottefield"
"3035","Jennifer Brown"
"3036","Aaron Carter"
"3037","Jessi Colter"
"3038","Karpatenhund"
"3039","Matthew Jay"
"3040","Thåström"
"3041","Shlomi Aber"
"3042","Guardner"
"3043","Holly Cole"
"3044","Ou Est Le Swimming Pool"
"3045","Jaromir Nohavica"
"3046","Juliana Hatfield"
"3047","Destroid"
"3048","Speedometer"
"3049","Bailter Space"
"3050","Springbok Nude Girls"
"3051","Skeewiff"
"3052","J.A.R."
"3053","Juan Carlos Baglietto"
"3054","Small Jackets"
"3055","Ganglians"
"3056","Heinz Rudolf Kunze"
"3057","Big Brovaz"
"3058","Jiggy Djé"
"3059","Combustible Edison"
"3060","I Dream / Matt Di Angelo"
"3061","Brownie Mc Ghee"
"3062","Los Bravos"
"3063","Bigwig"
"3064","Berrogüetto"
"3065","Nôze"
"3066","The Seekers"
"3067","Sator"
"3068","Bembeya Jazz National"
"3069","Diabolical Masquerade"
"3070","Kingsbury Manx"
"3071","The Jelly Jam"
"3072","Gene Kelly"
"3073","Jose Padilla"
"3074","By Divine Right"
"3075","Ashbury Heights"
"3076","William Ackerman"
"3077","Will Ackerman"
"3078","Sheila Chandra"
"3079","Hazard"
"3080","Denez Prigent"
"3081","Pax217"
"3082","Mike Nero"
"3083","Peter Criss"
"3084","Julie Doiron"
"3085","Ramada"
"3086","Grand Island"
"3087","Sangre Azul"
"3088","Bobby Bare"
"3089","Amii Stewart"
"3090","The Hunches"
"3091","Sevara Nazarkhan"
"3092","Jay-Jay Johanson"
"3093","Rosana"
"3094","Digitonal"
"3095","Jimmy McGriff"
"3096","Dickie Valentine"
"3097","Submersed"
"3098","Kamil Polner"
"3099","6 Day Riot"
"3100","Gabriela Anders"
"3101","Setherial"
"3102","Thelonious Monk Quartet"
"3103","Unsane"
"3104","Wilki"
"3105","Langston Hughes"
"3106","Honeybrowne"
"3107","Uncle Tupelo"
"3108","Jamie Walters"
"3109","Hellbastard"
"3110","David Axelrod"
"3111","John Forté"
"3112","Charge 69"
"3113","Kingston Wall"
"3114","Pram"
"3115","Full Blown Chaos"
"3116","Liam Lynch"
